Kì	Số 1	Số 2	Số 3	Số 4	Số 5	Số 6	Số Power	Ngày sổ	Giải J1	Giải J2
1	5	10	14	23	24	38	35	01-08-2017	30.528.493.950	3.058.721.550
2	4	9	24	25	27	45	40	03-08-2017	31.024.813.350	3.113.868.150
3	1	5	11	32	40	45	43	05-08-2017	31.903.413.600	3.211.490.400
4	19	36	39	41	46	51	38	08-08-2017	33.415.353.750	3.379.483.750
5	10	11	19	41	50	54	3	10-08-2017	34.588.091.550	3.509.787.950
6	6	16	20	32	38	51	34	12-08-2017	35.666.199.750	3.629.577.750
7	7	11	19	32	33	51	30	15-08-2017	36.713.676.000	3.745.964.000
8	11	12	20	30	32	34	53	17-08-2017	37.754.634.900	3.861.626.100
9	7	11	13	15	26	51	36	19-08-2017	38.842.141.350	3.982.460.150
10	10	24	31	32	38	44	14	22-08-2017	40.231.270.200	4.136.807.800
11	5	16	18	37	42	46	10	24-08-2017	41.355.943.950	4.261.771.550
12	17	25	30	31	36	41	20	26-08-2017	42.705.608.250	4.411.734.250
13	4	12	15	23	24	41	44	29-08-2017	43.925.548.800	4.547.283.200
14	8	20	27	35	36	47	18	31-08-2017	45.086.515.950	4.676.279.550
15	5	9	11	18	19	37	50	02-09-2017	45.743.789.550	4.749.309.950
16	1	2	8	13	23	39	9	05-09-2017	46.972.594.200	4.885.843.800
17	4	18	22	31	32	40	8	07-09-2017	48.190.895.850	5.021.210.650
18	1	15	23	36	43	54	12	09-09-2017	49.441.033.650	5.160.114.850
19	6	10	12	47	48	51	35	12-09-2017	51.063.730.500	5.340.414.500
20	22	23	32	43	44	51	15	14-09-2017	52.263.240.150	5.473.693.350
21	9	12	21	26	29	52	24	16-09-2017	53.177.036.250	5.575.226.250
22	3	32	36	41	44	53	45	19-09-2017	54.239.944.350	5.693.327.150
23	9	12	16	24	43	51	39	21-09-2017	55.150.230.000	5.794.470.000
24	7	8	27	36	44	53	49	23-09-2017	56.305.734.600	3.128.389.400
25	14	15	18	30	36	49	19	26-09-2017	57.928.236.150	3.308.667.350
26	20	27	28	31	39	47	10	28-09-2017	59.174.588.100	3.447.150.900
27	4	17	23	25	34	46	24	30-09-2017	60.155.334.750	3.556.122.750
28	21	31	35	41	46	50	23	03-10-2017	61.575.921.300	3.713.965.700
29	1	3	14	19	35	41	20	05-10-2017	62.814.288.900	3.851.562.100
30	31	34	40	42	43	49	16	07-10-2017	64.573.341.150	4.047.012.350
31	29	33	43	44	45	50	41	10-10-2017	67.375.253.100	4.358.335.900
32	5	8	11	31	37	42	52	12-10-2017	69.615.950.250	4.607.302.250
33	14	18	29	35	44	49	54	14-10-2017	72.079.404.600	4.881.019.400
34	1	26	36	40	50	54	31	17-10-2017	74.830.295.100	5.186.673.900
35	6	15	17	24	40	45	39	19-10-2017	77.375.046.900	5.469.424.100
36	4	9	13	16	18	49	30	21-10-2017	80.027.540.400	5.764.145.600
37	1	2	9	13	32	35	52	24-10-2017	81.820.687.350	3.199.238.550
38	2	10	15	30	34	50	3	26-10-2017	83.506.415.700	3.187.303.150
39	13	18	35	36	41	48	47	28-10-2017	85.047.387.150	3.358.522.200
40	7	13	24	45	47	52	33	31-10-2017	87.445.250.850	3.624.951.500
41	3	9	12	21	51	52	7	02-11-2017	90.407.671.050	3.954.109.300
42	2	8	12	44	46	52	9	04-11-2017	93.461.623.500	4.293.437.350
43	19	32	36	37	42	54	28	07-11-2017	97.091.932.800	4.696.805.050
44	2	3	6	23	34	36	50	09-11-2017	100.817.638.950	5.110.772.400
45	12	26	33	35	36	44	1	11-11-2017	102.765.805.950	3.216.463.000
46	20	24	29	41	47	49	22	14-11-2017	106.310.523.450	3.610.320.500
47	1	16	22	25	47	48	21	16-11-2017	108.584.968.350	3.252.716.100
48	11	12	26	42	50	54	17	18-11-2017	111.901.309.500	3.621.198.450
49	5	8	23	37	38	54	55	21-11-2017	114.313.083.150	3.267.974.850
50	1	2	3	18	25	50	14	23-11-2017	117.975.638.100	3.674.925.400
51	2	9	16	46	52	55	50	25-11-2017	120.250.718.850	3.252.786.750
52	2	19	39	49	51	53	20	28-11-2017	124.208.597.100	3.692.551.000
53	5	13	26	37	53	55	28	30-11-2017	126.430.993.200	3.246.932.900
54	9	37	45	50	53	54	40	02-12-2017	130.389.001.500	3.686.711.600
55	27	38	40	42	46	55	5	05-12-2017	135.897.635.550	4.298.782.050
56	3	14	26	35	44	54	25	07-12-2017	139.974.556.350	4.751.773.250
57	5	34	35	42	49	52	21	09-12-2017	142.613.607.000	3.293.227.850
58	6	7	8	21	32	39	27	12-12-2017	145.563.767.850	3.327.795.650
59	11	12	22	28	46	50	7	14-12-2017	150.431.996.550	3.868.709.950
60	5	23	37	41	43	53	25	16-12-2017	155.267.929.650	4.406.035.850
61	2	3	20	25	38	44	12	19-12-2017	161.744.780.550	5.125.685.950
62	22	23	27	35	37	46	19	21-12-2017	167.473.255.350	5.762.183.150
63	7	8	9	13	28	44	12	23-12-2017	172.865.880.750	6.361.363.750
64	7	11	13	18	26	42	49	26-12-2017	179.085.637.200	7.052.447.800
65	7	18	26	29	31	35	34	28-12-2017	185.756.375.100	7.793.640.900
66	8	9	36	37	39	50	7	30-12-2017	192.764.480.250	8.572.319.250
67	4	7	8	34	37	47	24	02-01-2018	198.519.424.050	3.639.438.200
68	1	7	31	35	46	55	51	04-01-2018	207.385.131.000	4.624.516.750
69	4	11	24	35	41	45	17	06-01-2018	213.511.359.900	3.680.692.100
70	18	25	28	46	50	51	15	09-01-2018	223.764.257.100	4.819.902.900
71	4	7	30	35	37	45	1	11-01-2018	229.877.713.200	3.679.272.900
72	3	21	25	26	51	55	37	13-01-2018	236.891.603.100	3.779.321.100
73	6	27	33	41	42	49	22	16-01-2018	247.416.944.250	4.948.803.450
74	12	24	28	30	36	39	15	18-01-2018	256.090.121.850	5.912.489.850
75	2	7	15	16	41	45	19	20-01-2018	262.085.240.100	3.666.124.250
76	3	10	15	23	41	53	35	23-01-2018	271.952.211.000	4.762.454.350
77	1	10	30	44	45	50	4	25-01-2018	281.341.050.600	5.805.658.750
78	21	26	36	38	40	50	11	27-01-2018	290.823.421.800	6.859.255.550
79	15	19	24	51	53	55	29	30-01-2018	300.000.000.000	10.505.465.350
80	1	7	8	9	39	43	52	01-02-2018	306.891.445.800	3.765.716.200
81	12	29	42	48	54	55	18	03-02-2018	300.000.000.000	23.238.831.500
82	1	20	29	31	43	53	16	06-02-2018	300.000.000.000	13.248.804.500
83	21	22	29	37	41	50	33	08-02-2018	307.756.203.150	3.861.800.350
84	8	10	19	25	36	46	7	10-02-2018	300.000.000.000	22.350.630.500
85	9	25	26	30	42	54	19	13-02-2018	307.948.444.500	3.883.160.500
86	16	22	28	29	35	43	45	17-02-2018	316.828.524.450	4.869.836.050
87	1	2	21	24	50	52	33	20-02-2018	324.942.454.200	5.771.383.800
88	11	14	32	36	42	48	20	22-02-2018	300.000.000.000	40.973.178.500
89	5	7	24	32	45	49	1	24-02-2018	305.600.910.600	3.622.323.400
90	8	16	23	28	44	49	45	27-02-2018	315.871.733.550	4.763.525.950
91	4	5	7	17	20	38	9	01-03-2018	323.797.375.200	5.644.152.800
92	4	10	32	37	47	52	49	03-03-2018	332.230.461.150	6.581.162.350
93	2	6	13	22	40	48	12	06-03-2018	342.197.962.500	7.688.662.500
94	14	17	18	23	41	52	40	08-03-2018	350.981.591.250	8.664.621.250
95	9	20	27	31	48	49	42	10-03-2018	300.000.000.000	70.013.824.500
96	1	2	17	46	47	49	44	13-03-2018	306.583.901.400	3.731.544.600
97	15	20	23	28	39	49	19	15-03-2018	314.502.409.200	4.611.378.800
98	3	14	28	35	50	52	29	17-03-2018	321.738.459.600	5.415.384.400
99	11	40	43	46	49	55	37	20-03-2018	300.000.000.000	37.377.430.000
100	1	8	24	33	34	41	20	22-03-2018	304.515.142.950	3.501.682.550
101	1	30	38	45	48	50	12	24-03-2018	311.943.369.900	4.327.041.100
102	9	13	14	15	54	55	22	27-03-2018	300.000.000.000	25.040.212.000
103	5	27	35	39	46	52	31	29-03-2018	300.000.000.000	7.207.922.000
104	3	7	31	43	51	53	26	31-03-2018	303.276.464.400	3.364.051.600
105	20	21	39	42	51	53	1	03-04-2018	311.346.404.850	4.260.711.650
106	7	9	17	25	31	32	6	05-04-2018	317.878.643.550	4.986.515.950
107	12	24	33	34	36	53	5	07-04-2018	324.541.622.100	5.726.846.900
108	1	22	25	31	36	48	41	10-04-2018	333.842.446.200	6.760.271.800
109	4	29	35	37	42	54	19	12-04-2018	341.100.719.850	7.566.746.650
110	2	10	14	26	45	54	20	14-04-2018	348.542.745.600	8.393.638.400
111	2	10	26	27	31	38	39	17-04-2018	300.000.000.000	66.969.623.500
112	4	17	19	35	49	55	9	19-04-2018	300.000.000.000	7.032.403.500
113	16	18	41	43	46	55	35	21-04-2018	300.000.000.000	7.716.697.000
114	17	18	24	40	41	46	6	24-04-2018	305.150.984.400	3.572.331.600
115	23	26	29	31	36	54	55	26-04-2018	311.383.703.550	4.264.855.950
116	12	19	22	29	32	46	25	28-04-2018	317.750.310.300	4.972.256.700
117	1	7	20	23	25	38	14	01-05-2018	323.711.172.750	5.634.574.750
118	23	27	33	37	39	49	44	03-05-2018	300.000.000.000	36.846.222.000
119	16	32	33	37	40	48	15	05-05-2018	303.899.669.850	3.433.296.650
120	3	16	23	24	38	42	48	08-05-2018	31.688.034.150	3.620.856.000
121	2	6	8	34	39	43	11	10-05-2018	33.632.951.700	3.836.957.950
122	1	9	26	38	54	55	51	12-05-2018	35.643.065.250	4.060.303.900
123	3	6	29	37	44	49	24	15-05-2018	38.071.367.400	4.330.115.250
124	13	31	38	45	53	55	46	17-05-2018	40.161.824.400	3.232.273.000
125	33	35	45	52	53	55	25	19-05-2018	42.114.151.200	3.449.198.200
126	4	5	8	17	35	47	39	22-05-2018	31.780.304.400	3.647.009.800
127	24	25	26	29	36	48	40	24-05-2018	33.284.469.900	3.167.129.500
128	7	12	28	31	40	44	15	26-05-2018	35.144.050.350	3.373.749.550
129	9	13	17	18	46	50	26	29-05-2018	37.041.107.700	3.584.533.700
130	3	15	18	25	26	29	19	31-05-2018	38.730.036.000	3.772.192.400
131	5	7	17	22	32	33	6	02-06-2018	40.421.556.750	3.187.946.750
132	11	21	26	32	51	52	5	05-06-2018	31.656.701.100	3.372.024.650
133	11	16	18	26	46	47	42	07-06-2018	33.451.356.000	3.571.430.750
134	9	23	25	39	52	53	38	09-06-2018	35.057.037.900	3.749.839.850
135	4	13	23	27	29	35	14	12-06-2018	36.793.704.900	3.942.802.850
136	3	15	32	45	48	54	55	14-06-2018	38.662.053.150	4.150.397.100
137	14	15	21	30	44	47	48	16-06-2018	40.558.167.300	3.210.679.350
138	16	17	31	37	41	52	34	19-06-2018	42.685.218.300	3.447.018.350
139	2	8	19	23	25	33	32	21-06-2018	44.151.049.200	3.609.888.450
140	6	8	13	23	46	55	1	23-06-2018	31.562.051.700	3.783.449.750
141	17	18	21	39	40	43	3	26-06-2018	33.230.491.950	3.968.832.000
142	11	31	33	43	48	51	23	28-06-2018	34.769.813.250	3.171.035.700
143	3	12	23	24	30	33	1	30-06-2018	36.351.516.000	3.346.780.450
144	30	32	34	47	48	49	50	03-07-2018	38.162.758.350	3.548.029.600
145	4	15	22	24	43	51	48	05-07-2018	39.908.934.300	3.742.049.150
146	2	30	45	48	49	53	41	07-07-2018	41.690.392.500	3.939.988.950
147	6	10	16	20	27	29	24	10-07-2018	43.270.472.550	3.175.564.450
148	8	15	18	21	24	49	22	12-07-2018	45.034.013.550	3.371.513.450
149	4	19	23	34	38	50	1	14-07-2018	47.012.873.700	3.591.386.800
150	5	14	22	27	31	40	48	17-07-2018	31.660.230.900	3.775.856.900
151	11	13	28	34	44	47	10	19-07-2018	33.072.762.000	3.932.804.800
152	7	31	33	37	46	52	28	21-07-2018	34.751.723.250	4.119.356.050
153	11	18	34	37	50	53	20	24-07-2018	36.779.450.250	4.344.659.050
154	21	24	33	37	40	46	52	26-07-2018	38.113.527.900	4.492.889.900
155	11	16	22	25	30	40	9	28-07-2018	39.828.676.800	4.683.462.000
156	1	5	27	31	47	50	41	31-07-2018	41.892.910.050	3.229.359.250
157	6	11	16	17	41	55	7	02-08-2018	43.671.479.700	3.426.978.100
158	11	12	24	32	41	48	3	04-08-2018	45.513.635.250	3.631.662.050
159	3	9	15	20	39	49	4	07-08-2018	47.175.342.150	3.184.634.100
160	24	29	32	33	49	55	9	09-08-2018	31.059.648.300	3.302.372.800
161	16	17	31	33	42	44	14	11-08-2018	32.194.626.150	3.428.481.450
162	29	30	36	38	45	52	46	14-08-2018	33.702.871.350	3.596.064.250
163	6	10	34	46	48	51	47	16-08-2018	34.965.205.950	3.140.259.400
164	7	33	36	39	51	55	11	18-08-2018	36.370.625.250	3.156.157.700
165	9	12	14	23	32	46	31	21-08-2018	38.068.041.000	3.188.601.750
166	14	18	27	38	39	53	2	23-08-2018	39.404.614.350	3.337.109.900
167	10	11	15	32	40	48	27	25-08-2018	41.260.462.050	3.543.315.200
168	2	10	15	31	39	48	23	28-08-2018	43.233.200.400	3.762.508.350
169	5	22	28	42	49	54	36	30-08-2018	44.848.312.950	3.941.965.300
170	2	8	20	21	28	36	5	01-09-2018	46.296.717.600	4.102.899.150
171	8	18	20	29	34	37	51	04-09-2018	48.210.550.500	4.315.547.250
172	4	11	15	21	24	27	7	06-09-2018	49.962.814.050	4.510.243.200
173	9	11	12	24	35	43	15	08-09-2018	51.566.176.200	4.688.394.550
174	13	17	28	42	45	49	50	11-09-2018	53.696.842.500	4.925.135.250
175	4	6	7	26	40	44	9	13-09-2018	55.368.863.400	5.110.915.350
176	2	5	28	30	46	50	49	15-09-2018	57.372.868.650	5.333.582.600
177	8	21	32	43	48	53	38	18-09-2018	59.535.024.150	3.240.239.500
178	3	32	35	46	47	49	51	20-09-2018	61.507.022.700	3.459.350.450
179	1	8	17	28	40	50	21	22-09-2018	63.494.160.150	3.680.143.500
180	2	3	6	13	14	17	9	25-09-2018	65.331.482.700	3.884.290.450
181	8	12	29	35	51	54	34	27-09-2018	67.249.412.850	3.213.103.350
182	3	7	12	32	34	55	38	29-09-2018	69.155.020.650	3.211.734.200
183	3	7	28	32	33	37	22	02-10-2018	71.233.011.300	3.442.622.050
184	3	9	12	17	34	42	46	04-10-2018	72.901.033.500	3.627.957.850
185	5	6	16	42	48	51	3	06-10-2018	75.218.555.100	3.885.460.250
186	10	27	46	50	51	55	1	09-10-2018	77.724.187.950	4.163.863.900
187	5	16	17	37	46	49	35	11-10-2018	79.704.990.300	4.383.953.050
188	12	21	23	44	47	48	43	13-10-2018	82.070.152.050	4.646.748.800
189	5	28	29	34	42	46	17	16-10-2018	84.650.926.350	4.933.501.500
190	1	11	22	34	42	47	30	18-10-2018	86.856.031.200	3.245.011.650
191	2	5	10	17	35	41	21	20-10-2018	89.122.986.750	3.496.895.600
192	1	3	6	13	21	30	36	23-10-2018	91.712.411.850	3.784.609.500
193	16	23	29	31	45	48	19	25-10-2018	94.362.451.050	4.079.058.300
