Kì,6 số trúng,số power,Ngày sổ
1,05 10 14 23 24 38,35,01/08/2017
2,04 09 24 25 27 45,40,03/08/2017
3,01 05 11 32 40 45,43,05/08/2017
4,19 36 39 41 46 51,38,08/08/2017
5,10 11 19 41 50 54,03,10/08/2017
6,06 16 20 32 38 51,34,12/08/2017
7,07 11 19 32 33 51,30,15/08/2017
8,11 12 20 30 32 34,53,17/08/2017
9,07 11 13 15 26 51,36,19/08/2017
10,10 24 31 32 38 44,14,22/08/2017
11,05 16 18 37 42 46,10,24/08/2017
12,17 25 30 31 36 41,20,26/08/2017
13,04 12 15 23 24 41,44,29/08/2017
14,08 20 27 35 36 47,18,31/08/2017
15,05 09 11 18 19 37,50,02/09/2017
16,01 02 08 13 23 39,09,05/09/2017
17,04 18 22 31 32 40,08,07/09/2017
18,01 15 23 36 43 54,12,09/09/2017
19,06 10 12 47 48 51,35,12/09/2017
20,22 23 32 43 44 51,15,14/09/2017
21,09 12 21 26 29 52,24,16/09/2017
22,03 32 36 41 44 53,45,19/09/2017
23,09 12 16 24 43 51,39,21/09/2017
24,07 08 27 36 44 53,49,23/09/2017
25,14 15 18 30 36 49,19,26/09/2017
26,20 27 28 31 39 47,10,28/09/2017
27,04 17 23 25 34 46,24,30/09/2017
28,21 31 35 41 46 50,23,03/10/2017
29,01 03 14 19 35 41,20,05/10/2017
30,31 34 40 42 43 49,16,07/10/2017
31,29 33 43 44 45 50,41,10/10/2017
32,05 08 11 31 37 42,52,12/10/2017
33,14 18 29 35 44 49,54,14/10/2017
34,01 26 36 40 50 54,31,17/10/2017
35,06 15 17 24 40 45,39,19/10/2017
36,04 09 13 16 18 49,30,21/10/2017
37,01 02 09 13 32 35,52,24/10/2017
38,02 10 15 30 34 50,03,26/10/2017
39,13 18 35 36 41 48,47,28/10/2017
40,07 13 24 45 47 52,33,31/10/2017
41,03 09 12 21 51 52,07,02/11/2017
42,02 08 12 44 46 52,09,04/11/2017
43,19 32 36 37 42 54,28,07/11/2017
44,02 03 06 23 34 36,50,09/11/2017
45,12 26 33 35 36 44,01,11/11/2017
46,20 24 29 41 47 49,22,14/11/2017
47,01 16 22 25 47 48,21,16/11/2017
48,11 12 26 42 50 54,17,18/11/2017
49,05 08 23 37 38 54,55,21/11/2017
50,01 02 03 18 25 50,14,23/11/2017
51,02 09 16 46 52 55,50,25/11/2017
52,02 19 39 49 51 53,20,28/11/2017
53,05 13 26 37 53 55,28,30/11/2017
54,09 37 45 50 53 54,40,02/12/2017
55,27 38 40 42 46 55,05,05/12/2017
56,03 14 26 35 44 54,25,07/12/2017
57,05 34 35 42 49 52,21,09/12/2017
58,06 07 08 21 32 39,27,12/12/2017
59,11 12 22 28 46 50,07,14/12/2017
60,05 23 37 41 43 53,25,16/12/2017
61,02 03 20 25 38 44,12,19/12/2017
62,22 23 27 35 37 46,19,21/12/2017
63,07 08 09 13 28 44,12,23/12/2017
64,07 11 13 18 26 42,49,26/12/2017
65,07 18 26 29 31 35,34,28/12/2017
66,08 09 36 37 39 50,07,30/12/2017
67,04 07 08 34 37 47,24,02/01/2018
68,01 07 31 35 46 55,51,04/01/2018
69,04 11 24 35 41 45,17,06/01/2018
70,18 25 28 46 50 51,15,09/01/2018
71,04 07 30 35 37 45,01,11/01/2018
72,03 21 25 26 51 55,37,13/01/2018
73,06 27 33 41 42 49,22,16/01/2018
74,12 24 28 30 36 39,15,18/01/2018
75,02 07 15 16 41 45,19,20/01/2018
76,03 10 15 23 41 53,35,23/01/2018
77,01 10 30 44 45 50,04,25/01/2018
78,21 26 36 38 40 50,11,27/01/2018
79,15 19 24 51 53 55,29,30/01/2018
80,01 07 08 09 39 43,52,01/02/2018
81,12 29 42 48 54 55,18,03/02/2018
82,01 20 29 31 43 53,16,06/02/2018
83,21 22 29 37 41 50,33,08/02/2018
84,08 10 19 25 36 46,07,10/02/2018
85,09 25 26 30 42 54,19,13/02/2018
86,16 22 28 29 35 43,45,17/02/2018
87,01 02 21 24 50 52,33,20/02/2018
88,11 14 32 36 42 48,20,22/02/2018
